Release date,Product,Impact,Max Severity,Article,Article (Link),Supercedence,Download,Download (Link),Build Number,Details,Details (Link),CWE
"Dec 14, 2021",Windows 10 Version 1607 for x64-based Systems,Elevation of Privilege,Important,5008207,https://support.microsoft.com/help/5008207,5007192,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5008207,10.0.14393.4825,CVE-2021-43893,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2021-43893,[]
"Dec 14, 2021",Windows 10 Version 1607 for 32-bit Systems,Elevation of Privilege,Important,5008207,https://support.microsoft.com/help/5008207,5007192,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5008207,10.0.14393.4825,CVE-2021-43893,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2021-43893,[]
"Dec 14, 2021",Windows 10 for x64-based Systems,Elevation of Privilege,Important,5008230,https://support.microsoft.com/help/5008230,5007207,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5008230,10.0.10240.19145,CVE-2021-43893,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2021-43893,[]
"Dec 14, 2021",Windows 10 for 32-bit Systems,Elevation of Privilege,Important,5008230,https://support.microsoft.com/help/5008230,5007207,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5008230,10.0.10240.19145,CVE-2021-43893,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2021-43893,[]
"Dec 14, 2021",Windows 10 Version 21H2 for x64-based Systems,Elevation of Privilege,Important,5008212,https://support.microsoft.com/help/5008212,,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5008212,10.0.19044.1415,CVE-2021-43893,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2021-43893,[]
"Dec 14, 2021",Windows 10 Version 21H2 for ARM64-based Systems,Elevation of Privilege,Important,5008212,https://support.microsoft.com/help/5008212,,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5008212,10.0.19044.1415,CVE-2021-43893,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2021-43893,[]
"Dec 14, 2021",Windows 10 Version 21H2 for 32-bit Systems,Elevation of Privilege,Important,5008212,https://support.microsoft.com/help/5008212,,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5008212,10.0.19044.1415,CVE-2021-43893,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2021-43893,[]
"Dec 14, 2021",Windows 11 version 21H2 for ARM64-based Systems,Elevation of Privilege,Important,5008215,https://support.microsoft.com/help/5008215,5007215,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5008215,10.0.22000.376,CVE-2021-43893,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2021-43893,[]
"Dec 14, 2021",Windows 11 version 21H2 for x64-based Systems,Elevation of Privilege,Important,5008215,https://support.microsoft.com/help/5008215,5007215,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5008215,10.0.22000.376,CVE-2021-43893,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2021-43893,[]
"Dec 14, 2021",Windows 10 Version 20H2 for ARM64-based Systems,Elevation of Privilege,Important,5008212,https://support.microsoft.com/help/5008212,5007186,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5008212,10.0.19042.1415,CVE-2021-43893,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2021-43893,[]
"Dec 14, 2021",Windows 10 Version 20H2 for 32-bit Systems,Elevation of Privilege,Important,5008212,https://support.microsoft.com/help/5008212,5007186,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5008212,10.0.19042.1415,CVE-2021-43893,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2021-43893,[]
"Dec 14, 2021",Windows 10 Version 2004 for x64-based Systems,Elevation of Privilege,Important,5008212,https://support.microsoft.com/help/5008212,5007186,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5008212,10.0.19041.1415,CVE-2021-43893,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2021-43893,[]
"Dec 14, 2021",Windows 10 Version 2004 for ARM64-based Systems,Elevation of Privilege,Important,5008212,https://support.microsoft.com/help/5008212,5007186,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5008212,10.0.19041.1415,CVE-2021-43893,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2021-43893,[]
"Dec 14, 2021",Windows 10 Version 2004 for 32-bit Systems,Elevation of Privilege,Important,5008212,https://support.microsoft.com/help/5008212,5007186,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5008212,10.0.19041.1415,CVE-2021-43893,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2021-43893,[]
"Dec 14, 2021",Windows 10 Version 21H1 for 32-bit Systems,Elevation of Privilege,Important,5008212,https://support.microsoft.com/help/5008212,5007186,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5008212,10.0.19043.1415,CVE-2021-43893,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2021-43893,[]
"Dec 14, 2021",Windows 10 Version 21H1 for ARM64-based Systems,Elevation of Privilege,Important,5008212,https://support.microsoft.com/help/5008212,5007186,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5008212,10.0.19043.1415,CVE-2021-43893,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2021-43893,[]
"Dec 14, 2021",Windows 10 Version 21H1 for x64-based Systems,Elevation of Privilege,Important,5008212,https://support.microsoft.com/help/5008212,5007186,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5008212,10.0.19043.1415,CVE-2021-43893,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2021-43893,[]
"Dec 14, 2021",Windows 10 Version 1909 for ARM64-based Systems,Elevation of Privilege,Important,5008206,https://support.microsoft.com/help/5008206,5007189,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5008206,10.0.18363.1977,CVE-2021-43893,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2021-43893,[]
"Dec 14, 2021",Windows 10 Version 1909 for x64-based Systems,Elevation of Privilege,Important,5008206,https://support.microsoft.com/help/5008206,5007189,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5008206,10.0.18363.1977,CVE-2021-43893,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2021-43893,[]
"Dec 14, 2021",Windows 10 Version 1909 for 32-bit Systems,Elevation of Privilege,Important,5008206,https://support.microsoft.com/help/5008206,5007189,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5008206,10.0.18363.1977,CVE-2021-43893,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2021-43893,[]
"Dec 14, 2021",Windows 10 Version 1809 for ARM64-based Systems,Elevation of Privilege,Important,5008218,https://support.microsoft.com/help/5008218,5007206,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5008218,10.0.17763.2366,CVE-2021-43893,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2021-43893,[]
"Dec 14, 2021",Windows 10 Version 1809 for x64-based Systems,Elevation of Privilege,Important,5008218,https://support.microsoft.com/help/5008218,5007206,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5008218,10.0.17763.2366,CVE-2021-43893,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2021-43893,[]
"Dec 14, 2021",Windows 10 Version 1809 for 32-bit Systems,Elevation of Privilege,Important,5008218,https://support.microsoft.com/help/5008218,5007206,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5008218,10.0.17763.2366,CVE-2021-43893,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2021-43893,[]
"Dec 14, 2021",Windows 10 Version 1607 for x64-based Systems,Elevation of Privilege,Important,5008207,https://support.microsoft.com/help/5008207,5007192,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5008207,10.0.14393.4825,CVE-2021-43883,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2021-43883,[]
"Dec 14, 2021",Windows 10 Version 1607 for 32-bit Systems,Elevation of Privilege,Important,5008207,https://support.microsoft.com/help/5008207,5007192,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5008207,10.0.14393.4825,CVE-2021-43883,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2021-43883,[]
"Dec 14, 2021",Windows 10 for x64-based Systems,Elevation of Privilege,Important,5008230,https://support.microsoft.com/help/5008230,5007207,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5008230,10.0.10240.19145,CVE-2021-43883,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2021-43883,[]
